"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.5756,0,-180,49.0674658799228
1.5756,0,-170,4.04987870353941
1.5756,0,-160,7.8686400365924
1.5756,0,-150,38.589103393309
1.5756,0,-140,10.5744122622989
1.5756,0,-130,7.01000631821377
1.5756,0,-120,6.93137056767804
1.5756,0,-110,7.10030904832057
1.5756,0,-100,6.74493741701046
1.5756,0,-90,5.97049726949808
1.5756,0,-80,4.97680709806441
1.5756,0,-70,3.94086907352731
1.5756,0,-60,3.14473621891722
1.5756,0,-50,3.14271514142646
1.5756,0,-40,4.303195303281
1.5756,0,-30,6.48467445176736
1.5756,0,-20,9.86954157958771
1.5756,0,-10,15.8695996913952
1.5756,0,0,53.7389576104208
1.5756,0,10,15.7044916308128
1.5756,0,20,9.89684848699275
1.5756,0,30,6.71886579347147
1.5756,0,40,4.92592572859407
1.5756,0,50,4.39147495460736
1.5756,0,60,4.94792369575573
1.5756,0,70,6.09171220284925
1.5756,0,80,7.41506451529981
1.5756,0,90,8.6677167553008
1.5756,0,100,9.60833303846202
1.5756,0,110,9.91535413278311
1.5756,0,120,9.3427048080345
1.5756,0,130,8.55074886491307
1.5756,0,140,11.1277020707665
1.5756,0,150,33.6001341583672
1.5756,0,160,7.54255089475954
1.5756,0,170,4.02062017579429
1.5756,0,180,49.0674658799209
